timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude,ok1,ok2,estimatedHeight
705,45.7547,0,0,0,0,0
706,45.7548,0,0,0,0,0
707,45.7548,0,0,0,0,0
708,45.7549,0,0,0,0,0
709,45.7549,0,0,0,0,0
710,45.7597,0,0,0,0,0
711,45.7598,0,0,0,0,0
712,45.7599,0,0,0,0,0
713,45.7599,0,0,0,0,0
714,45.76,0,0,0,0,0
715,45.7542,0,0,0,0,0
716,45.7543,0,0,0,0,0
717,45.7545,0,0,0,0,0
718,45.7545,0,0,0,0,0
719,45.7546,0,0,0,0,0
720,45.7546,0,0,0,0,0
721,45.7594,0,0,0,0,0
722,45.7596,0,0,0,0,0
723,45.7595,0,0,0,0,0
724,45.7596,0,0,0,0,0
725,45.7597,0,0,0,0,0
726,45.7598,0,0,0,0,0
727,45.7598,0,0,0,0,0
728,45.76,0,0,0,0,0
729,45.76,0,0,0,0,0
730,45.7601,0,0,0,0,0
731,45.7556,0,0,0,0,0
732,45.7557,0,0,0,0,0
733,45.7559,0,0,0,0,0
734,45.7559,0,0,0,0,0
735,45.7445,0,0,0,0,0
736,45.7445,0,0,0,0,0
737,45.7447,0,0,0,0,0
738,45.7448,0,0,0,0,0
739,45.7448,0,0,0,0,0
740,45.7449,0,0,0,0,0
741,45.7448,0,0,0,0,0
742,45.7498,0,0,0,0,0
743,45.7499,0,0,0,0,0
744,45.75,0,0,0,0,0
745,45.75,0,0,0,0,0
746,45.7501,0,0,0,0,0
747,45.7502,0,0,0,0,0
748,45.7502,0,0,0,0,0
749,45.7503,0,0,0,0,0
750,45.7504,0,0,0,0,0
751,45.7504,0,0,0,0,0
752,45.7461,0,0,0,0,0
753,45.7463,0,0,0,0,0
754,45.7463,0,0,0,0,0
755,45.7294,0,0,0,0,0
756,45.7294,0,0,0,0,0
757,45.7295,0,0,0,0,0
758,45.7296,0,0,0,0,0
759,45.7297,0,0,0,0,0
760,45.7297,0,0,0,0,0
761,45.7297,0,0,0,0,0
762,45.7297,0,0,0,0,0
763,45.729,0,0,0,0,0
764,45.729,0,0,0,0,0
765,45.7291,0,0,0,0,0
766,45.7291,0,0,0,0,0
767,45.7291,0,0,0,0,0
768,45.7292,0,0,0,0,0
769,45.7292,0,0,0,0,0
770,45.7293,0,0,0,0,0
771,45.7293,0,0,0,0,0
772,45.7293,0,0,0,0,0
773,45.7384,0,0,0,0,0
774,45.7385,0,0,0,0,0
775,45.7385,0,0,0,0,0
776,45.7278,0,0,0,0,0
777,45.7279,0,0,0,0,0
778,45.7279,0,0,0,0,0
779,45.728,0,0,0,0,0
780,45.728,0,0,0,0,0
781,45.7281,0,0,0,0,0
782,45.7281,0,0,0,0,0
783,45.728,0,0,0,0,0
784,45.7274,0,0,0,0,0
785,45.7274,0,0,0,0,0
786,45.7275,0,0,0,0,0
787,45.7275,0,0,0,0,0
788,45.7275,0,0,0,0,0
789,45.7276,0,0,0,0,0
790,45.7276,0,0,0,0,0
791,45.7276,0,0,0,0,0
792,45.7277,0,0,0,0,0
793,45.7277,0,0,0,0,0
794,45.7327,0,0,0,0,0
795,45.7328,0,0,0,0,0
796,45.7288,0,0,0,0,0
797,45.7289,0,0,0,0,0
798,45.729,0,0,0,0,0
799,45.729,0,0,0,0,0
800,45.7291,0,0,0,0,0
801,45.7291,0,0,0,0,0
802,45.7292,0,0,0,0,0
803,45.7293,0,0,0,0,0
804,45.7292,0,0,0,0,0
805,45.7345,0,0,0,0,0
806,45.7345,0,0,0,0,0
